T1,T2,T3,T4,T5,T6,T7,T8,Target
338,65.9,6.05,0.97,-0.64,255,0,0,8.692217E-009
338,65.9,6.05,0.97,-0.67,255,0,0,1.150454E-008
338,65.9,6.05,0.97,-0.68,255,0,0,1.323545E-008
338,65.9,6.05,0.97,-0.7,255,0,0,1.105294E-008
338,65.9,6.05,0.97,-0.71,255,0,0,6.309572E-009
338,65.9,6.05,0.97,-0.73,255,0,0,4.863585E-009
289,32,7.25,258,-0.8,324,450,2.25,2.5E-009
320,32,7.7,260,-0.888,324,450,2.25,6.8E-009
320,32,7.7,260,-0.82,324,450,2.25,1.35E-008
289,32,7.25,258,-0.732,324,450,2.25,7.3E-009
289,32,7.25,258,-0.749,324,450,2.25,2.7E-009
289,32,7.25,258,-0.764,324,450,2.25,4.5E-009
289,32,7.25,258,-0.771,324,450,2.25,6.8E-009
320,32,7.7,260,-0.863,324,450,2.25,5.6E-009
320,32,7.7,260,-0.875,324,450,2.25,6.8E-009
289,32,7.25,258,-0.72,324,450,2.25,2.09E-008
320,32,7.7,260,-0.8,324,450,2.25,5.6E-009
